"","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Emisja CO2","Typ","Liczba drzwi","Liczba miejsc","Kolor","VAT mar¿a","Kraj pochodzenia","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Bezwypadkowy","Serwisowany w ASO","Stan","Rodzaj koloru","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Gwarancja dealerska (w cenie)","Uszkodzony","Miesiêczna rata","Tuning","lub do (przebieg km)","Generacja","Okres gwarancji producenta","Op³ata pocz¹tkowa","Liczba pozosta³ych rat","Wartoœæ wykupu","Kod Silnika","Akryl (niemetalizowany)","Zarejestrowany jako zabytek","Homologacja ciê¿arowa","Kierownica po prawej (Anglik)"
"1:598","2 700","Firmy","Osobowe","Daihatsu","Cuore","1.0 Plus","2004","7 000 km","989 cm3","Benzyna","58 KM","Manualna","Na przednie ko³a","114 g/km","Auta ma³e","3","4","Inny kolor",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:599","12 000","Firmy","Osobowe","Daihatsu","Sirion","1.3","2009","186 968 km","1 298 cm3","Benzyna","91 KM","Manualna","Na przednie ko³a","148 g/km","Auta miejskie","5","5","Szary","Tak","Niemcy","01/04/2009","ENQR267",NA,"Tak","Tak","U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:600","5 800","Firmy","Osobowe","Daihatsu","Cuore",NA,"2004","186 000 km","1 000 cm3","Benzyna","58 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e","5","5","Czerwony",NA,"Niemcy",NA,NA,NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:601","11 500","Osoby prywatnej","Osobowe","Daihatsu","Materia",NA,"2007","110 000 km","1 495 cm3","Benzyna","103 KM","Manualna","Na przednie ko³a","172 g/km","Minivan","5","5","Fioletowy","Tak",NA,NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:602","9 999","Firmy","Osobowe","Daihatsu","Sirion","1.5 S","2008","220 500 km","1 495 cm3","Benzyna","103 KM","Manualna","Na przednie ko³a","145 g/km","Auta ma³e","5","5","Bia³y",NA,"Szwajcaria","17/03/2008",NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:603","9 990","Osoby prywatnej","Osobowe","Daihatsu","Sirion","1.3","2006","164 000 km","1 298 cm3","Benzyna","87 KM","Manualna","Na przednie ko³a","137 g/km","Auta miejskie","5","5","Inny kolor","Tak","Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:604","4 650","Firmy","Osobowe","Daihatsu","Terios",NA,"1998","199 900 km","1 296 cm3","Benzyna","83 KM","Automatyczna","4x4 (sta³y)",NA,"Minivan","5",NA,"Szary",NA,"Niemcy",NA,NA,NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:605","22 900","Firmy","Osobowe","Daihatsu","Terios","1.5 Top S 4WD","2008","222 000 km","1 495 cm3","Benzyna","105 KM","Manualna","4x4 (do³¹czany automatycznie)","191 g/km","SUV","5","5","Czarny","Tak",NA,NA,NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:606","21 900","Osoby prywatnej","Osobowe","Daihatsu","Terios",NA,"2008","117 000 km","1 495 cm3","Benzyna+LPG","77 KM","Manualna","Na tylne ko³a",NA,"SUV","5","5","Szary",NA,"Niemcy","11/12/2008",NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:607","12 700","Osoby prywatnej","Osobowe","Daihatsu","Terios","Plus","2005","114 000 km","1 298 cm3","Benzyna","86 KM","Manualna","4x4 (sta³y)","183 g/km","SUV","5","5","Niebieski",NA,"Niemcy",NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:608","8 400","Osoby prywatnej","Osobowe","Daihatsu","Sirion",NA,"2006","190 000 km","1 300 cm3","Benzyna","90 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5","5","Szary","Tak","Niemcy","12/12/2006",NA,"Tak","Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:609","7 900","Firmy","Osobowe","Daihatsu","Sirion",NA,"2006","185 000 km","1 298 cm3","Benzyna","87 KM","Manualna",NA,NA,"Auta miejskie","5",NA,"Srebrny","Tak",NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:610","2 999","Firmy","Osobowe","Daihatsu","Cuore","1.0 Plus","2005","147 000 km","989 cm3","Benzyna","58 KM","Manualna","Na przednie ko³a","114 g/km","Auta ma³e","3","4","Czerwony",NA,"Niemcy",NA,NA,NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:611","4 800","Firmy","Osobowe","Daihatsu","Cuore","1.0 Plus","2006","100 648 km","989 cm3","Benzyna","58 KM","Manualna","Na przednie ko³a","114 g/km","Auta ma³e","3",NA,"Czerwony","Tak",NA,NA,NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:612","10 500","Osoby prywatnej","Osobowe","Daihatsu","Sirion","1.3 Top S","2005","191 000 km","1 298 cm3","Benzyna","102 KM","Manualna","Na przednie ko³a","135 g/km","Auta miejskie","5","5","Czarny","Tak",NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:613","8 999","Osoby prywatnej","Osobowe","Daihatsu","Sirion","1.3","2006","193 000 km","1 298 cm3","Benzyna","87 KM","Manualna","Na przednie ko³a","137 g/km","Auta miejskie","5","5","Srebrny",NA,"Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:614","7 490","Osoby prywatnej","Osobowe","Daihatsu","Sirion",NA,"2005","219 977 km","1 298 cm3","Benzyna+LPG","87 KM","Automatyczna","Na przednie ko³a","151 g/km","Auta miejskie","5","5","Srebrny",NA,NA,"27/09/2005",NA,"Tak","Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:615","7 200","Firmy","Osobowe","Daihatsu","Sirion","1.0","2006","128 500 km","998 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a","118 g/km","Auta miejskie","5","5","Czerwony","Tak","Niemcy","28/04/2006","LU902LV","Tak",NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:616","29 999","Osoby prywatnej","Osobowe","Daihatsu","Copen","1.3","2008","62 629 km","1 298 cm3","Benzyna","87 KM","Manualna","Na przednie ko³a","140 g/km","Kabriolet","2","2","Srebrny","Tak","Szwajcaria","12/06/2008",NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:617","9 900","Firmy","Osobowe","Daihatsu","Sirion","1.3 ECO 4WD","2006","147 161 km","1 298 cm3","Benzyna","87 KM","Manualna","4x4 (sta³y)","148 g/km","Auta miejskie","5","5","Inny kolor","Tak",NA,"27/07/2006","SCI7546G",NA,"Tak","Tak","U¿ywane",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:618","12 800","Osoby prywatnej","Osobowe","Daihatsu","Materia","1.5","2009","174 926 km","1 495 cm3","Benzyna","103 KM","Manualna","Na przednie ko³a","172 g/km","Minivan","5","5","Inny kolor",NA,NA,NA,NA,NA,"Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:619","9 500","Osoby prywatnej","Osobowe","Daihatsu","Sirion",NA,"2009","106 000 km","998 cm3","Benzyna","69 KM","Manualna","Na przednie ko³a","118 g/km","Auta miejskie","5","5","Bia³y",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:620","8 500","Osoby prywatnej","Osobowe","Daihatsu","Sirion","1.0","2008","147 000 km","998 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a","118 g/km","Auta miejskie","5","5","Czarny",NA,"Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:621","9 700","Osoby prywatnej","Osobowe","Daihatsu","Feroza","1.6 SX","1996","185 100 km","1 589 cm3","Benzyna","95 KM","Manualna","4x4 (do³¹czany automatycznie)",NA,"SUV","3","4","Zielony",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:622","19 999","Firmy","Osobowe","Daihatsu","Charade","Standard","2012","47 400 km","1 329 cm3","Benzyna","99 KM","Manualna","Na przednie ko³a","125 g/km","Auta miejskie","5","5","Czarny","Tak",NA,NA,NA,NA,NA,"Tak","U¿ywane",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:623","6 900","Firmy","Osobowe","Daihatsu","Sirion","1.3","2006","192 437 km","1 298 cm3","Benzyna","87 KM","Manualna","Na przednie ko³a","137 g/km","Auta miejskie","5","5","Zielony","Tak",NA,"24/11/2006",NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:624","2 200","Firmy","Osobowe","Daihatsu","YRV",NA,"2003","208 000 km","1 298 cm3","Benzyna","87 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5","5","Niebieski",NA,NA,NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:625","17 400","Osoby prywatnej","Osobowe","Daihatsu","Terios",NA,"2004","145 000 km","1 298 cm3","Benzyna","86 KM","Manualna",NA,NA,"SUV","5",NA,"Szary",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:626","8 400","Osoby prywatnej","Osobowe","Daihatsu","Sirion","1.0","2006","101 000 km","998 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a","118 g/km","Auta miejskie","5","5","Czarny",NA,NA,NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:627","17 999","Osoby prywatnej","Osobowe","Daihatsu","Materia","1.5","2011","170 200 km","1 495 cm3","Benzyna+LPG","103 KM","Manualna","Na przednie ko³a","172 g/km","Minivan","5","5","Bia³y",NA,"Niemcy",NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:628","13 900","Firmy","Osobowe","Daihatsu","Feroza",NA,"1992","110 000 km","1 598 cm3","Benzyna","95 KM","Manualna","4x4 (do³¹czany rêcznie)",NA,"SUV","3","5","Niebieski","Tak",NA,NA,NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:629","7 400","Firmy","Osobowe","Daihatsu","Cuore",NA,"2008","213 779 km","1 000 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e","5","4","Niebieski","Tak","Belgia","25/08/2008",NA,NA,"Tak","Tak","U¿ywane","Metalik","Tak",NA,NA,"Tak",NA,"3 miesiêcy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:630","10 500","Osoby prywatnej","Osobowe","Daihatsu","Materia","1.3","2009","245 213 km","1 298 cm3","Benzyna","91 KM","Manualna","Na przednie ko³a","156 g/km","Minivan","5","5","Bordowy",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:631","5 900","Osoby prywatnej","Osobowe","Daihatsu","Terios",NA,"2003","276 128 km","1 298 cm3","Benzyna","86 KM","Manualna","4x4 (do³¹czany automatycznie)",NA,"SUV","5",NA,"Niebieski",NA,"Polska","15/12/2006","GD3825K","Tak","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:632","7 900","Firmy","Osobowe","Daihatsu","Sirion","1.3","2007","132 000 km","1 298 cm3","Benzyna","87 KM","Manualna","Na przednie ko³a","137 g/km","Auta miejskie","5","5","Niebieski","Tak",NA,NA,NA,"Tak",NA,NA,"U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:633","6 900","Firmy","Osobowe","Daihatsu","Trevis","1.0","2007","102 000 km","989 cm3","Benzyna","58 KM","Manualna","Na przednie ko³a","114 g/km","Auta ma³e","5","4","Inny kolor","Tak","Niemcy","25/07/2007","HVLRR352",NA,NA,NA,"U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:634","5 700","Osoby prywatnej","Osobowe","Daihatsu","Sirion","1.0","2005","141 234 km","998 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a",NA,"Auta miejskie","5",NA,"Inny kolor",NA,"Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:635","6 700","Firmy","Osobowe","Daihatsu","YRV",NA,"2003","119 000 km","1 298 cm3","Benzyna","87 KM","Manualna","Na przednie ko³a",NA,"Auta ma³e","5","5","Srebrny","Tak","Niemcy",NA,NA,"Tak","Tak","Tak","U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:636","4 299","Firmy","Osobowe","Daihatsu","Cuore","1.0 Plus","2006","169 876 km","989 cm3","Benzyna","58 KM","Manualna","Na przednie ko³a","114 g/km","Auta ma³e","3","4","Czerwony","Tak","Niemcy","04/01/2007","YT765T",NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:637","9 500","Osoby prywatnej","Osobowe","Daihatsu","Sirion","1.0","2008","145 000 km","998 cm3","Benzyna","70 KM","Manualna","Na przednie ko³a","118 g/km","Auta miejskie","5","5","Czerwony",NA,NA,"22/09/2008","SH0587C","Tak","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:638","19 900","Firmy","Osobowe","Daihatsu","Terios","1.5 Top S 4WD","2007","230 000 km","1 495 cm3","Benzyna","105 KM","Manualna","4x4 (do³¹czany rêcznie)","191 g/km","SUV","5","5","Niebieski",NA,"Niemcy","25/06/2007",NA,NA,"Tak","Tak","U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:639","4 099","Osoby prywatnej","Osobowe","Daihatsu","Cuore","1.0 Plus","2005","168 000 km","989 cm3","Benzyna","58 KM","Manualna","Na przednie ko³a","114 g/km","Auta ma³e","3","4","Czarny",NA,NA,NA,"KNS7102J",NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:640","7 999","Firmy","Osobowe","Daihatsu","Sirion","1.3","2007","157 000 km","1 298 cm3","Benzyna","87 KM","Manualna",NA,NA,"Auta miejskie","5",NA,"Czarny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:641","150 000","Osoby prywatnej","Osobowe","Dodge","RAM",NA,"2017","118 000 km","5 654 cm3","Benzyna+LPG","400 KM","Automatyczna","4x4 (do³¹czany rêcznie)",NA,"SUV","4","5","Bordowy",NA,NA,NA,NA,"Tak","Tak",NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:642","32 500","Osoby prywatnej","Osobowe","Dodge","Journey","2.4","2011","197 000 km","2 360 cm3","Benzyna","170 KM","Manualna","Na przednie ko³a","209 g/km","SUV","5","5","Czarny","Tak","Niemcy","26/02/2011","DODGE","Tak","Tak","Tak","U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:643","6 900","Firmy","Osobowe","Dodge","Grand Caravan",NA,"2002","220 000 km","3 294 cm3","Benzyna+LPG","158 KM","Automatyczna","Na przednie ko³a",NA,"Minivan","5","7","Be¿owy","Tak",NA,NA,"WZ4167Y","Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:644","205 000","Osoby prywatnej","Osobowe","Dodge","Charger","Automatik","2019","27 000 km","6 417 cm3","Benzyna","492 KM","Automatyczna","Na tylne ko³a",NA,"Sedan","4",NA,"Czarny",NA,"Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:645","27 000","Osoby prywatnej","Osobowe","Dodge","Journey","2.0 CRD R/T","2008","201 700 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","186 g/km","SUV","5","5","Z³oty",NA,NA,"29/04/2009","CG6482A","Tak","Tak","Tak","U¿ywane","Metalik",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:646","165 000","Osoby prywatnej","Osobowe","Dodge","RAM","1500 5.7 4x4","2018","65 000 km","5 654 cm3","Benzyna","390 KM","Automatyczna","4x4 (sta³y)",NA,"SUV","4","6","Bordowy",NA,"Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:647","128 900","Osoby prywatnej","Osobowe","Dodge","Challenger",NA,"2016","31 000 km","5 654 cm3","Benzyna","381 KM","Manualna","Na tylne ko³a",NA,"Coupe","2","5","Fioletowy",NA,"Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:648","175 000","Osoby prywatnej","Osobowe","Dodge","Challenger","3.6 SXT","2019","15 000 km","3 604 cm3","Benzyna","305 KM","Automatyczna","Na tylne ko³a",NA,"Coupe","2","5","Zielony",NA,"Stany Zjednoczone","02/02/2019",NA,"Tak","Tak","Tak","U¿ywane",NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:649","28 000","Osoby prywatnej","Osobowe","Dodge","Journey","2.0 CRD DSG","2010","156 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a",NA,"SUV","5","5","Czerwony",NA,NA,"28/01/2011","EL449YT","Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:650","82 410","Osoby prywatnej","Osobowe","Dodge","Charger","3.6 GT","2015","67 800 km","3 604 cm3","Benzyna+LPG","300 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"Sedan","4","5","Czarny",NA,NA,NA,NA,"Tak",NA,"Tak","U¿ywane","Metalik",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:651","26 500","Osoby prywatnej","Osobowe","Dodge","Nitro",NA,"2007","204 223 km","2 776 cm3","Diesel","177 KM","Manualna","4x4 (do³¹czany rêcznie)",NA,"SUV","5","5","Czarny",NA,NA,NA,"EWE9W48","Tak","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:652","187 000","Osoby prywatnej","Osobowe","Dodge","Charger","Automatik","2018","62 000 km","6 417 cm3","Benzyna","492 KM","Automatyczna","Na tylne ko³a","333 g/km","Sedan","4","5","Niebieski",NA,"Stany Zjednoczone",NA,"G6Y8","Tak","Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:653","25 900","Firmy","Osobowe","Dodge","Journey",NA,"2010","214 300 km","1 968 cm3","Diesel","140 KM","Manualna",NA,NA,"SUV","5",NA,"Czarny","Tak","Austria",NA,NA,NA,"Tak","Tak","U¿ywane","Metalik","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:654","143 000","Osoby prywatnej","Osobowe","Dodge","Challenger",NA,"2019","33 000 km","5 700 cm3","Benzyna","380 KM","Automatyczna","Na tylne ko³a",NA,"Coupe","2","5","Czerwony","Tak","Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:655","215 000","Osoby prywatnej","Osobowe","Dodge","RAM",NA,"2020","19 000 km","5 700 cm3","Benzyna","401 KM","Automatyczna","4x4 (do³¹czany rêcznie)",NA,"SUV","4","5","Inny kolor","Tak",NA,NA,NA,NA,NA,"Tak","U¿ywane","Metalik",NA,NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA
"1:656","69 900","Osoby prywatnej","Osobowe","Dodge","RAM","1500 5.7 4x4","2010","285 000 km","5 654 cm3","Benzyna","390 KM","Automatyczna",NA,NA,"SUV","4","5","Bia³y","Tak",NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:657","96 500","Osoby prywatnej","Osobowe","Dodge","Challenger","ver-automatik","2012","148 500 km","6 417 cm3","Benzyna","492 KM","Automatyczna","Na tylne ko³a",NA,"Coupe","2","5","Czarny",NA,"Stany Zjednoczone",NA,NA,"Tak",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148 500 km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:658","8 900","Osoby prywatnej","Osobowe","Dodge","Durango","5.2","1999","185 000 km","5 208 cm3","Benzyna+LPG","230 KM","Automatyczna",NA,NA,"SUV","5",NA,"Czarny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:659","94 800","Osoby prywatnej","Osobowe","Dodge","Durango",NA,"2016","113 900 km","3 604 cm3","Benzyna","294 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5",NA,"Inny kolor",NA,NA,"01/01/2016","WL5237R",NA,NA,"Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:660","177 500","Osoby prywatnej","Osobowe","Dodge","Durango",NA,"2018","88 000 km","5 700 cm3","Benzyna","365 KM","Automatyczna","4x4 (do³¹czany automatycznie)",NA,"SUV","5",NA,"Czarny",NA,NA,NA,NA,NA,NA,NA,"U¿ywane",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:661","215 000","Osoby prywatnej","Osobowe","Dodge","Challenger","6.4 Scat Pack","2019","43 206 km","6 417 cm3","Benzyna","475 KM","Automatyczna","Na tylne ko³a",NA,"Coupe","2","5","Czarny",NA,NA,"01/08/2020",NA,"Tak",NA,NA,"U¿ywane","Metalik",NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:662","39 000","Osoby prywatnej","Osobowe","Dodge","RAM",NA,"1985","253 400 km","5 200 cm3","Benzyna","145 KM","Automatyczna","Na tylne ko³a",NA,"SUV","3","5","Be¿owy",NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Metalik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
